proposition12,category,c1,oc1,a1,oa1,c2,oc2,a2,oa2,rel
we should attach more importance to cooperation +++$+++ competition can effectively promote the development of economy,attacks,we,should attach,cooperation,more importance,competition,can effectively promote,economy,development,no
through cooperation children can learn about interpersonal skills which are significant in the future life of all students +++$+++ What we acquired from team work is not only how to achieve the same goal with others but more importantly how to get along with others,supports,cooperation children,can learn,interpersonal skills, are significant,team work,acquired to achieve more importantly,goal get along with others,none,no
through cooperation children can learn about interpersonal skills which are significant in the future life of all students +++$+++ During the process of cooperation children can learn about how to listen to opinions of others how to communicate with others how to think comprehensively and even how to compromise with other team members when conflicts occurred,supports,cooperation children,can learn,interpersonal skills, are significant,process of cooperation children,can learn, listen to opinions of others  communicate  think comprehensively compromise  team members  conflicts ,none,no
competition can effectively promote the development of economy +++$+++ In order to survive in the competition companies continue to improve their products and service and as a result the whole society prospers,supports,competition,can effectively promote,economy,development,competition companies,survive  continue to improve,products and service,prospers,no
we should attach more importance to cooperation +++$+++ through cooperation children can learn about interpersonal skills which are significant in the future life of all students,supports,we,should attach,cooperation,more importance,cooperation children,can learn,interpersonal skills, are significant,no
competition makes the society more effective +++$+++ the significance of competition is that how to become more excellence to gain the victory,supports,competition,makes,society,more effective,competition,significance become,victory,excellence to gain ,no
through cooperation children can learn about interpersonal skills which are significant in the future life of all students +++$+++ All of these skills help them to get on well with other people and will benefit them for the whole life,supports,cooperation children,can learn,interpersonal skills, are significant,skills,help,to get on well with other people  ,will benefit,no
we should attach more importance to cooperation +++$+++ without the cooperation there would be no victory of competition,supports,we,should attach,cooperation,more importance,cooperation,no,victory  competition,none,no
we should attach more importance to cooperation +++$+++ a more cooperative attitudes towards life is more profitable in one's success,supports,we,should attach,cooperation,more importance,cooperative attitudes  life,more profitable,success,none,no
without the cooperation there would be no victory of competition +++$+++ when we consider about the question that how to win the game we always find that we need the cooperation,supports,cooperation,no,victory  competition,none,win the game,need,cooperation,none,no
we should attach more importance to cooperation +++$+++ competition makes the society more effective,attacks,we,should attach,cooperation,more importance,competition,makes,society,more effective,no
The winner is the athlete but the success belongs to the whole team +++$+++ Take Olympic games which is a form of competition for instance it is hard to imagine how an athlete could win the game without the training of his or her coach and the help of other professional staffs such as the people who take care of his diet and those who are in charge of the medical care,supports,athlete,winner belongs,success team,none,Olympic games competition,hard to imagine without,win training coach professional staffs,take care,no
without the cooperation there would be no victory of competition +++$+++ The winner is the athlete but the success belongs to the whole team,supports,cooperation,no,victory  competition,none,athlete,winner belongs,success team,none,no
Take Olympic games which is a form of competition for instance it is hard to imagine how an athlete could win the game without the training of his or her coach and the help of other professional staffs such as the people who take care of his diet and those who are in charge of the medical care +++$+++ competition can effectively promote the development of economy,none,Olympic games competition,hard to imagine without,win training coach professional staffs,take care,competition,can effectively promote,economy,development,yes
the significance of competition is that how to become more excellence to gain the victory +++$+++ Take Olympic games which is a form of competition for instance it is hard to imagine how an athlete could win the game without the training of his or her coach and the help of other professional staffs such as the people who take care of his diet and those who are in charge of the medical care,none,competition companies,survive  continue to improve,products and service,prospers,Olympic games competition,hard to imagine without,win training coach professional staffs,take care,yes
